,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,Capital
0,6/11/1998,-1.67,1124.25,1128.25,1103,1105.25,,1105.25,17376,2929,-0.036363636,0.074697897,0.010655834,0.064278155,0.139212144,-0.117900477,0,-0.01,288.7,0.7635,0.002644614,,,100000
1,6/12/1998,0.57,1103.5,1113.5,1091.75,1111.5,,1111.5,19156,4390,-0.01,0.058083063,0.012656344,0.064005375,0.140667094,-0.115354406,0,-0.76,287.3,0.754,0.002624434,,,100000
2,6/15/1998,-2.29,1112.25,1114.25,1084,1086,,1086,19159,5198,-0.064545455,0.1145554,0.015474462,0.065028261,0.145530983,-0.114582059,0,-2.55,286.6,0.733,0.002557572,,,100000
3,6/16/1998,1.29,1085,1100.5,1082.75,1100,,1100,20631,5952,-0.025454545,0.099769287,0.018012662,0.065551922,0.149116506,-0.113091181,0,-0.84,290,0.7355,0.002536207,,,118406
4,6/17/1998,2.07,1099.25,1126.75,1098.5,1122.75,,1122.75,17820,7153,0.020727273,0.104780189,0.020671131,0.06605928,0.152789692,-0.11144743,0,0.14,294.9,0.749,0.002539844,,,118406
5,6/18/1998,-0.4,1122,1127,1116,1118.25,,1118.25,13415,6958,-1.88E-16,0.10468324,0.023142931,0.066620997,0.156384926,-0.110099063,0,-0.97,294.6,0.741,0.002515275,,,118406
6,6/19/1998,-0.51,1118.25,1124,1107.75,1112.5,,1112.5,11683,7479,-0.025090909,0.139025629,0.026614965,0.06760454,0.161824045,-0.108594114,0,-0.01,300.8,0.7565,0.00251496,,,118406
7,6/22/1998,1.39,1122.5,1132.25,1122.5,1128,,1128,30,26,-0.004727273,0.154206718,0.030788796,0.068275589,0.167339974,-0.105762381,0,1.31,297.1,0.757,0.002547964,,,118406
8,6/23/1998,1.09,1130,1143.25,1130,1140.25,,1140.25,11,30,-0.001818182,0.179913458,0.035913613,0.068704643,0.173322898,-0.101495672,0.006590559,-0.56,296.4,0.751,0.002533738,,,118406
9,6/24/1998,1.21,1141,1157.25,1140.25,1154,,1154,7,56,0.025272727,0.177961762,0.041138044,0.068375783,0.17788961,-0.095613522,7.22E-05,0.08,294.2,0.746,0.00253569,,,118406
10,6/25/1998,-0.13,1160.75,1166,1152.5,1152.5,,1152.5,49,61,0.040909091,0.191770691,0.046348189,0.068743332,0.183834852,-0.091138474,0.007935839,-0.57,295.1,0.744,0.002521179,,,118406
11,6/26/1998,0.74,1154.5,1161,1153.25,1161,,1161,18,65,0.070363636,0.196839239,0.051873422,0.068397369,0.188668161,-0.084921317,0.008171079,-0.71,295,0.7385,0.00250339,,,118406
12,6/29/1998,0.17,1161.75,1169.75,1161.75,1163,,1163,6,45,0.050727273,0.156801112,0.055590638,0.068444163,0.192478964,-0.081297689,0,-1.24,297.1,0.7345,0.002472232,,,118406
