Date,SP500,SP500corr,filterSP500corr,Open,High,Low,Last,Returns
6/17/1998,1122.75,-0.139275083,0,1099.25,1126.75,1098.5,1122.75,102895.778
6/17/1999,1355.75,0.109661641,0,1342.75,1358,1336,1355.75,97310.25587
6/16/2000,1488.5,0.057555074,0,1498,1504,1479.5,1488.5,107170.3357
6/18/2001,1228,0.030385277,0,1228,1228,1228,1228,122095.4702
6/17/2002,1036.5,0.23088526,0.23088526,1009,1038.75,1008.25,1036.5,88352.8707
6/17/2003,1009.5,-0.040940494,0,1009.25,1015.75,1005.5,1009.5,72734.95072
6/17/2004,1131,-0.005840693,0,1133,1134,1126.25,1131,71735.93236
6/17/2005,1220.5,0.124303694,0,1215.75,1225.25,1215.25,1220.5,68458.1208
6/19/2006,1259.5,-0.130124311,0,1272,1280.5,1259,1259.5,68458.1208
6/18/2007,1559.25,-0.026251308,0,1556,1565.25,1556,1559.25,71955.92104
6/17/2008,1353,0.034778619,0,1360.25,1372,1351.25,1353,71735.62921
6/17/2009,905.25,-0.077495858,0,908,914.25,899.25,905.25,135499.2492
6/17/2010,1111.75,-0.00213006,0,1110,1117.5,1100.75,1111.75,135499.2492
6/17/2011,1266,0.097322137,0,1263.75,1277.25,1258.5,1266,137863.1884
6/18/2012,1334,0.015734077,0,1339,1340.5,1321.25,1334,137863.1884
6/17/2013,1633.75,-0.019753943,0,1618.75,1641,1618,1633.75,137863.1884
6/17/2014,1933.75,0.015433516,0,1929,1935.75,1923.75,1934,137863.1884
6/17/2015,2089.25,-0.0434495,0,2089.75,2098.75,2078.75,2088.5,149439.5123
6/17/2016,2059,-0.014258205,0,2068.75,2074.75,2053.25,2059.75,159810.1417
6/19/2017,2445,-0.004904655,0,2432,2448.75,2430.5,2445.25,162051.3173
6/18/2018,2784,-0.004262467,0,2783.75,2791,2765.5,2782.75,161648.9034
6/17/2019,2896.25,-0.093939729,0,2895,2904.75,2892,2897.75,129730.9225
6/17/2020,3107,0.089890455,0,3111.75,3147,3094.5,3106.5,157614.5068
