Date,CapitalGrowth
3/31/1998,"$100,000.00 "
4/1/1998,"$100,000.00 "
4/2/1998,"$100,000.00 "
4/3/1998,"$100,000.00 "
4/6/1998,"$100,000.00 "
4/7/1998,"$100,000.00 "
4/8/1998,"$100,000.00 "
4/9/1998,"$100,000.00 "
4/13/1998,"$100,000.00 "
4/14/1998,"$100,000.00 "
4/15/1998,"$100,000.00 "
4/16/1998,"$100,000.00 "
4/17/1998,"$100,000.00 "
4/20/1998,"$100,000.00 "
4/21/1998,"$100,000.00 "
4/22/1998,"$100,000.00 "
4/23/1998,"$100,000.00 "
4/24/1998,"$100,000.00 "
4/27/1998,"$100,000.00 "
4/28/1998,"$100,000.00 "
4/29/1998,"$100,000.00 "
4/30/1998,"$100,000.00 "
5/1/1998,"$100,000.00 "
5/4/1998,"$100,000.00 "
5/5/1998,"$100,000.00 "
5/6/1998,"$100,000.00 "
5/7/1998,"$100,000.00 "
5/8/1998,"$100,000.00 "
5/11/1998,"$100,000.00 "
5/12/1998,"$100,000.00 "
5/13/1998,"$100,000.00 "
5/14/1998,"$100,000.00 "
5/15/1998,"$100,000.00 "
5/18/1998,"$100,000.00 "
5/19/1998,"$100,000.00 "
5/20/1998,"$100,000.00 "
5/21/1998,"$100,000.00 "
5/22/1998,"$100,000.00 "
5/26/1998,"$100,000.00 "
5/27/1998,"$100,000.00 "
5/28/1998,"$100,000.00 "
5/29/1998,"$100,000.00 "
6/1/1998,"$100,000.00 "
6/2/1998,"$100,000.00 "
6/3/1998,"$100,000.00 "
6/4/1998,"$100,990.77 "
6/5/1998,"$100,990.77 "
6/8/1998,"$100,990.77 "
6/9/1998,"$100,990.77 "
6/10/1998,"$100,990.77 "
6/11/1998,"$100,990.77 "
6/12/1998,"$100,990.77 "
6/15/1998,"$100,990.77 "
6/16/1998,"$100,990.77 "
6/17/1998,"$100,990.77 "
6/18/1998,"$100,990.77 "
6/19/1998,"$100,990.77 "
6/22/1998,"$100,990.77 "
6/23/1998,"$100,990.77 "
6/24/1998,"$100,990.77 "
6/25/1998,"$100,990.77 "
6/26/1998,"$100,990.77 "
6/29/1998,"$100,990.77 "
6/30/1998,"$100,990.77 "
7/1/1998,"$100,990.77 "
7/2/1998,"$100,990.77 "
7/6/1998,"$100,990.77 "
7/7/1998,"$100,990.77 "
7/8/1998,"$100,990.77 "
7/9/1998,"$100,990.77 "
7/10/1998,"$100,990.77 "
7/13/1998,"$100,990.77 "
7/14/1998,"$100,990.77 "
7/15/1998,"$100,990.77 "
7/16/1998,"$100,990.77 "
7/17/1998,"$100,990.77 "
7/20/1998,"$100,990.77 "
7/21/1998,"$100,990.77 "
7/22/1998,"$100,990.77 "
7/23/1998,"$100,990.77 "
7/24/1998,"$100,990.77 "
7/27/1998,"$100,990.77 "
7/28/1998,"$100,990.77 "
7/29/1998,"$100,990.77 "
7/30/1998,"$100,990.77 "
7/31/1998,"$100,990.77 "
8/3/1998,"$100,990.77 "
8/4/1998,"$100,990.77 "
8/5/1998,"$100,990.77 "
8/6/1998,"$100,990.77 "
8/7/1998,"$100,990.77 "
8/10/1998,"$100,990.77 "
8/11/1998,"$100,990.77 "
8/12/1998,"$100,990.77 "
8/13/1998,"$100,990.77 "
8/14/1998,"$100,990.77 "
8/17/1998,"$100,990.77 "
8/18/1998,"$100,990.77 "
8/19/1998,"$100,990.77 "
8/20/1998,"$100,990.77 "
8/21/1998,"$100,990.77 "
8/24/1998,"$100,990.77 "
8/25/1998,"$100,990.77 "
8/26/1998,"$100,990.77 "
8/27/1998,"$100,990.77 "
8/28/1998,"$100,990.77 "
8/31/1998,"$100,990.77 "
9/1/1998,"$100,990.77 "
9/2/1998,"$100,990.77 "
9/3/1998,"$100,990.77 "
9/4/1998,"$100,990.77 "
9/8/1998,"$100,990.77 "
9/9/1998,"$100,990.77 "
9/10/1998,"$100,990.77 "
9/11/1998,"$100,990.77 "
9/14/1998,"$100,990.77 "
9/15/1998,"$100,990.77 "
9/16/1998,"$100,990.77 "
9/17/1998,"$100,990.77 "
9/18/1998,"$100,990.77 "
9/21/1998,"$100,990.77 "
9/22/1998,"$100,990.77 "
9/23/1998,"$100,990.77 "
9/24/1998,"$100,990.77 "
9/25/1998,"$100,990.77 "
9/28/1998,"$100,990.77 "
9/29/1998,"$100,990.77 "
9/30/1998,"$100,990.77 "
10/1/1998,"$100,990.77 "
10/2/1998,"$100,990.77 "
10/5/1998,"$100,990.77 "
10/6/1998,"$100,990.77 "
10/7/1998,"$100,990.77 "
10/8/1998,"$100,990.77 "
10/9/1998,"$100,990.77 "
10/13/1998,"$100,990.77 "
10/14/1998,"$100,990.77 "
10/15/1998,"$100,990.77 "
10/16/1998,"$100,990.77 "
10/19/1998,"$100,990.77 "
10/20/1998,"$100,990.77 "
10/21/1998,"$100,990.77 "
10/22/1998,"$100,990.77 "
10/23/1998,"$100,990.77 "
10/26/1998,"$100,990.77 "
10/27/1998,"$100,990.77 "
10/28/1998,"$100,990.77 "
10/29/1998,"$100,990.77 "
10/30/1998,"$100,990.77 "
11/2/1998,"$100,990.77 "
11/3/1998,"$100,990.77 "
11/4/1998,"$101,957.72 "
11/5/1998,"$101,957.72 "
11/6/1998,"$101,957.72 "
11/9/1998,"$101,957.72 "
11/10/1998,"$101,957.72 "
11/12/1998,"$101,957.72 "
11/13/1998,"$101,957.72 "
11/16/1998,"$101,957.72 "
11/17/1998,"$101,957.72 "
11/18/1998,"$101,957.72 "
11/19/1998,"$101,957.72 "
11/20/1998,"$101,957.72 "
11/23/1998,"$101,957.72 "
11/24/1998,"$101,957.72 "
11/25/1998,"$101,957.72 "
11/27/1998,"$101,957.72 "
11/30/1998,"$101,957.72 "
12/1/1998,"$101,957.72 "
12/2/1998,"$101,957.72 "
12/3/1998,"$101,957.72 "
12/4/1998,"$101,957.72 "
12/7/1998,"$101,957.72 "
12/8/1998,"$101,957.72 "
12/9/1998,"$101,957.72 "
12/10/1998,"$101,957.72 "
12/11/1998,"$101,957.72 "
12/14/1998,"$101,957.72 "
12/15/1998,"$101,957.72 "
12/16/1998,"$101,957.72 "
12/17/1998,"$101,957.72 "
12/18/1998,"$101,957.72 "
12/21/1998,"$101,957.72 "
12/22/1998,"$101,957.72 "
12/23/1998,"$101,957.72 "
12/24/1998,"$101,957.72 "
12/28/1998,"$101,957.72 "
12/29/1998,"$101,957.72 "
12/30/1998,"$101,957.72 "
12/31/1998,"$101,957.72 "
1/4/1999,"$101,957.72 "
1/5/1999,"$101,957.72 "
1/6/1999,"$101,957.72 "
1/7/1999,"$101,957.72 "
1/8/1999,"$101,957.72 "
1/11/1999,"$101,957.72 "
1/12/1999,"$101,957.72 "
1/13/1999,"$101,957.72 "
1/14/1999,"$101,957.72 "
1/15/1999,"$101,957.72 "
1/19/1999,"$101,957.72 "
1/20/1999,"$101,957.72 "
1/21/1999,"$93,944.29 "
1/22/1999,"$93,944.29 "
1/25/1999,"$93,944.29 "
1/26/1999,"$93,944.29 "
1/27/1999,"$93,944.29 "
1/28/1999,"$93,944.29 "
1/29/1999,"$93,944.29 "
2/1/1999,"$93,944.29 "
2/2/1999,"$93,944.29 "
2/3/1999,"$93,944.29 "
2/4/1999,"$93,944.29 "
2/5/1999,"$93,944.29 "
2/8/1999,"$93,944.29 "
2/9/1999,"$93,944.29 "
2/10/1999,"$93,944.29 "
2/11/1999,"$93,944.29 "
2/12/1999,"$93,944.29 "
2/16/1999,"$93,944.29 "
2/17/1999,"$93,944.29 "
2/18/1999,"$93,944.29 "
2/19/1999,"$93,944.29 "
2/22/1999,"$93,944.29 "
2/23/1999,"$93,944.29 "
2/24/1999,"$93,944.29 "
2/25/1999,"$93,944.29 "
2/26/1999,"$93,944.29 "
3/1/1999,"$93,944.29 "
3/2/1999,"$93,944.29 "
3/3/1999,"$93,944.29 "
3/4/1999,"$93,944.29 "
3/5/1999,"$93,944.29 "
3/8/1999,"$93,944.29 "
3/9/1999,"$93,944.29 "
3/10/1999,"$93,944.29 "
3/11/1999,"$93,944.29 "
3/12/1999,"$93,944.29 "
3/15/1999,"$93,944.29 "
3/16/1999,"$93,944.29 "
3/17/1999,"$93,944.29 "
3/18/1999,"$93,944.29 "
3/19/1999,"$93,944.29 "
3/22/1999,"$93,944.29 "
3/23/1999,"$93,944.29 "
3/24/1999,"$93,944.29 "
3/25/1999,"$93,944.29 "
3/26/1999,"$93,944.29 "
3/29/1999,"$93,944.29 "
3/30/1999,"$93,944.29 "
3/31/1999,"$93,944.29 "
4/1/1999,"$93,944.29 "
4/2/1999,"$93,944.29 "
4/5/1999,"$93,944.29 "
4/6/1999,"$93,944.29 "
4/7/1999,"$93,944.29 "
4/8/1999,"$93,944.29 "
4/9/1999,"$93,944.29 "
4/12/1999,"$93,944.29 "
4/13/1999,"$93,944.29 "
4/14/1999,"$93,944.29 "
4/15/1999,"$93,944.29 "
4/16/1999,"$93,944.29 "
4/19/1999,"$93,944.29 "
4/20/1999,"$93,944.29 "
4/21/1999,"$93,944.29 "
4/22/1999,"$93,944.29 "
4/23/1999,"$93,944.29 "
4/26/1999,"$93,944.29 "
4/27/1999,"$93,944.29 "
4/28/1999,"$93,944.29 "
4/29/1999,"$93,944.29 "
4/30/1999,"$93,944.29 "
5/3/1999,"$93,944.29 "
5/4/1999,"$93,944.29 "
5/5/1999,"$93,944.29 "
5/6/1999,"$93,944.29 "
5/7/1999,"$93,944.29 "
5/10/1999,"$93,944.29 "
5/11/1999,"$93,944.29 "
5/12/1999,"$93,944.29 "
5/13/1999,"$93,944.29 "
5/14/1999,"$93,944.29 "
5/17/1999,"$93,944.29 "
5/18/1999,"$93,944.29 "
5/19/1999,"$93,944.29 "
5/20/1999,"$93,944.29 "
5/21/1999,"$93,944.29 "
5/24/1999,"$93,944.29 "
5/25/1999,"$93,944.29 "
5/26/1999,"$93,944.29 "
5/27/1999,"$93,944.29 "
5/28/1999,"$93,944.29 "
6/1/1999,"$93,944.29 "
6/2/1999,"$93,944.29 "
6/3/1999,"$93,944.29 "
6/4/1999,"$93,944.29 "
6/7/1999,"$93,944.29 "
6/8/1999,"$93,944.29 "
6/9/1999,"$93,944.29 "
6/10/1999,"$93,944.29 "
6/11/1999,"$93,944.29 "
6/14/1999,"$93,944.29 "
6/15/1999,"$93,944.29 "
6/16/1999,"$93,944.29 "
6/17/1999,"$93,944.29 "
6/18/1999,"$93,944.29 "
6/21/1999,"$93,944.29 "
6/22/1999,"$93,944.29 "
6/23/1999,"$93,944.29 "
6/24/1999,"$93,944.29 "
6/25/1999,"$93,944.29 "
6/28/1999,"$93,944.29 "
6/29/1999,"$93,944.29 "
6/30/1999,"$93,944.29 "
7/1/1999,"$93,944.29 "
7/2/1999,"$93,944.29 "
7/6/1999,"$93,944.29 "
7/7/1999,"$93,944.29 "
7/8/1999,"$93,944.29 "
7/9/1999,"$93,944.29 "
7/12/1999,"$93,944.29 "
7/13/1999,"$93,944.29 "
7/14/1999,"$93,944.29 "
