,Date,Closing Price,B Rating,5 Year Rate,Yield Spread,S&P 500 Returns,Yield Spread Returns,Correl55day,55Day std,55Day Mean,55Z-Score,,signal,Long/Short
0,9/9/1997,944,9.59,6.24,3.35,,,,,,,,0,
1,9/10/1997,925,9.58,6.26,3.32,-0.020127119,-0.008955224,,,,,,0,
2,9/11/1997,918.25,9.6,6.27,3.33,-0.007297297,0.003012048,,,,,,0,
3,9/12/1997,933.75,9.58,6.17,3.41,0.016879935,0.024024024,,,,,,0,
4,9/15/1997,931.5,9.55,6.17,3.38,-0.002409639,-0.008797654,,,,,,0,
5,9/16/1997,956,9.52,6,3.52,0.026301664,0.041420118,,,,,,0,
6,9/17/1997,956,9.47,5.99,3.48,0,-0.011363636,,,,,,0,
7,9/18/1997,957.75,9.42,6.02,3.4,0.001830544,-0.022988506,,,,,,0,
8,9/19/1997,971,9.4,6.01,3.39,0.013834508,-0.002941176,,,,,,0,
9,9/22/1997,976.75,9.39,5.99,3.4,0.00592173,0.002949853,,,,,,0,
10,9/23/1997,972.25,9.38,6.02,3.36,-0.004607115,-0.011764706,,,,,,0,
11,9/24/1997,964.75,9.38,5.97,3.41,-0.007714065,0.014880952,,,,,,0,
12,9/25/1997,956.75,9.38,6.04,3.34,-0.008292304,-0.020527859,,,,,,0,
13,9/26/1997,963.5,9.38,5.99,3.39,0.007055135,0.01497006,,,,,,0,
14,9/29/1997,972,9.4,5.99,3.41,0.008822003,0.005899705,,,,,,0,
15,9/30/1997,964.75,9.47,6,3.47,-0.007458848,0.017595308,,,,,,0,
16,10/1/1997,973.75,9.43,5.93,3.5,0.009328842,0.008645533,,,,,,0,
17,10/2/1997,979.5,9.41,5.91,3.5,0.005905006,0,,,,,,0,
18,10/3/1997,986,9.37,5.89,3.48,0.006636039,-0.005714286,,,,,,0,
19,10/6/1997,989,9.34,5.85,3.49,0.003042596,0.002873563,,,,,,0,
20,10/7/1997,1000,9.32,5.82,3.5,0.011122346,0.00286533,,,,,,0,
21,10/8/1997,992.75,9.29,5.96,3.33,-0.00725,-0.048571429,,,,,,0,
