period,CGr_Model_ret,Ltd _return,CG_PL, Capital ,
6/15/1998,0.00,0.00,0.00,100000.00,
6/15/2000,0.18,0.18,18406.00,118406.00,
6/15/2002,0.30,0.54,35985.44,154391.44,
6/15/2004,0.18,0.81,27027.68,181419.12,
6/15/2006,0.07,0.94,12318.65,193737.77,
6/15/2008,0.08,1.09,15455.55,209193.32,
6/15/2010,-0.23,0.60,-49026.20,160167.12,
6/15/2012,0.19,0.90,29738.38,189905.50,
6/15/2014,0.15,1.18,27607.13,217512.63,
6/15/2016,0.19,1.59,41405.12,258917.76,
6/15/2018,0.01,1.63,3864.70,262782.45,
6/15/2020,0.09,1.87,24098.43,286880.88,
,,,,,
,,,,,
,,,,,
