,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std
0,2002-06-11,-1.74,1031.0,1043.5,1013.0,1015.25,,1015.25,3095.0,11253.0,-0.22454545454545508,0.2991114985843749,0.3407305495206703,0.06212038600502681,0.4649713215307239,0.21648977751061665,0.0,-2.29,320.5,0.765,0.0023868954758190326,-0.07309090909090925,1.3202859857527405
1,2002-06-12,0.59,1015.25,1023.75,1003.5,1021.25,,1021.25,7704.0,14395.0,-0.19218181818181873,0.28434536799353516,0.34038527552486214,0.062384296581089876,0.4651538686870419,0.2156166823626824,0.0,-0.32,321.1,0.764,0.002379321083774525,-0.05218181818181834,1.3067909392563757
2,2002-06-13,-0.93,1024.0,1028.0,1008.75,1011.75,,1011.75,375702.0,46014.0,-0.21872727272727327,0.26385728364011934,0.3397124704282542,0.06301480395329323,0.46574207833484066,0.21368286252166774,0.0,1.08,318.5,0.7659999999999999,0.0024050235478806905,-0.05672727272727289,1.3023213669294318
3,2002-06-14,-0.17,1011.25,1011.5,979.75,1010.0,,1010.0,479809.0,76131.0,-0.22654545454545508,0.26681063991592374,0.33754302071223025,0.06343966729357835,0.4644223552993869,0.21066368612507355,0.0,-0.54,319.8,0.765,0.002392120075046904,-0.056363636363636525,1.3021810246180914
4,2002-06-17,2.62,1009.0,1038.75,1008.25,1036.5,,1036.5,411315.0,96320.0,-0.18563636363636413,0.2507490835764406,0.33505740313776167,0.06412225100726043,0.46330190515228253,0.2068129011232408,0.0,0.01,318.1,0.7609999999999999,0.0023923294561458658,-0.0827272727272729,1.2854837028015376
5,2002-06-18,0.84,1036.5,1045.5,1030.75,1045.25,,1045.25,392143.0,99838.0,-0.16290909090909142,0.24293919336509012,0.3324894962386993,0.06494163267165066,0.4623727615820006,0.20260623089539795,0.0,-0.63,319.7,0.76,0.00237722865186112,-0.09363636363636381,1.2875721678966539
6,2002-06-19,-2.39,1042.25,1042.5,1017.75,1020.25,,1020.25,439470.0,111428.0,-0.1960000000000005,0.24403570032218883,0.3294412913672688,0.06508985873483744,0.4596210088369437,0.1992615738975939,0.0,-0.52,320.3,0.7575,0.0023649703403059628,-0.08418181818181834,1.2823931489805263
7,2002-06-20,-1.23,1021.0,1026.0,1004.75,1007.75,,1007.75,506469.0,108803.0,-0.20563636363636417,0.25325623483496373,0.32633937335538393,0.06456994263491539,0.4554792586252147,0.19719948808555315,0.0,-1.83,323.7,0.7515,0.0023215940685820204,-0.08781818181818198,1.287132458735296
8,2002-06-21,-1.56,1007.5,1013.75,985.0,992.0,,992.0,442517.0,129408.0,-0.2263636363636369,0.2681782363138359,0.3233504645861381,0.06335493611054273,0.45006033680722357,0.19664059236505263,0.0,-1.56,325.1,0.743,0.0022854506305752076,-0.10054545454545472,1.2983214493562785
9,2002-06-24,0.66,990.0,998.5,990.0,998.5,,998.5,1.0,1.0,-0.2130909090909096,0.26855505944345803,0.3202578802723765,0.061753836874317763,0.44376555402101203,0.19675020652374098,0.0,-0.21,324.7,0.7405,0.0022805666769325533,-0.0867272727272729,1.2929295683396178
10,2002-06-25,-2.3,975.5,975.5,975.5,975.5,,975.5,9.0,1.0,-0.258545454545455,0.19949973610215824,0.31567498253758486,0.06117950480267052,0.43803399214292593,0.1933159729322438,0.0,2.54,320.5,0.7495,0.0023385335413416536,-0.038727272727272895,1.3405555157877993
11,2002-06-26,0.0,952.0,975.5,952.0,975.5,,975.5,9.0,7.0,-0.24690909090909138,0.2062594160992504,0.3115193029538732,0.06069722815528136,0.4329137592644359,0.19012484664331047,0.0,0.11,320.8,0.7509999999999999,0.002341022443890274,-0.05781818181818199,1.3306078963155807
12,2002-06-27,1.79,983.0,993.0,983.0,993.0,,993.0,6.0,10.0,-0.23345454545454597,0.23820718880020825,0.30837855185034346,0.05992128367383027,0.428221119198004,0.18853598450268294,0.0,0.76,320.7,0.7565,0.0023589024009978174,-0.01981818181818199,1.323427775679912
13,2002-06-28,-0.2,987.0,992.0,987.0,991.0,,991.0,2.0,11.0,-0.1918181818181823,0.22017767400380192,0.3048794677840867,0.059337148635968964,0.4235537650560246,0.18620517051214877,0.0,3.76,315.0,0.7709999999999999,0.0024476190476190474,0.0552727272727271,1.4170468176816478
14,2002-07-01,-2.07,970.5,991.25,969.25,970.5,,970.5,10.0,11.0,-0.24254545454545506,0.22975650653720336,0.3018370779100953,0.058809236006771966,0.4194555499236392,0.18421860589655137,0.0,-0.16,315.5,0.7709999999999999,0.0024437400950871628,0.06690909090909072,1.4125140087502943
15,2002-07-02,-2.29,967.0,969.5,948.25,948.25,,948.25,10.0,14.0,-0.2710909090909096,0.24995092120066215,0.2993453722808376,0.05803244487204206,0.4154102620249217,0.18328048253675344,0.0,-1.18,314.3,0.759,0.00241489023226217,0.03472727272727255,1.4205161484284963
16,2002-07-03,0.58,942.0,953.75,941.5,953.75,,953.75,3.0,16.0,-0.30290909090909135,0.21198678597443293,0.2956777513993724,0.05703680530086244,0.4097513620010973,0.18160414079764753,0.0,-0.39,312.4,0.7515,0.0024055697823303457,-0.005090909090909269,1.4006729503366286
17,2002-07-08,-1.31,991.5,991.5,979.0,979.0,,979.0,6.0,21.0,-0.24254545454545504,0.20535700172536442,0.2918107744437449,0.05578320166145384,0.4033771777666526,0.18024437112083724,0.0,0.51,313.7,0.7585,0.002417915205610456,-0.0020000000000001783,1.4016358168094039
18,2002-07-09,-2.5,980.0,980.0,954.5,954.5,,954.5,9.0,21.0,-0.2940000000000005,0.23001786097509783,0.288498921316712,0.05387986543151347,0.39625865217973893,0.18073919045368508,0.0,-1.39,317.7,0.7575,0.002384324834749764,0.010363636363636183,1.3859679912347451
19,2002-07-10,-3.67,950.75,958.0,919.5,919.5,,919.5,19.0,25.0,-0.3309090909090914,0.21022213612024837,0.28459222891306457,0.05153114910572906,0.3876545271245227,0.18152993070160645,0.0,0.04,316.3,0.7545,0.0023853936136579196,-0.017272727272727453,1.3695531233127685
20,2002-07-11,0.84,915.25,927.25,906.0,927.25,,927.25,11.0,25.0,-0.3074545454545459,0.20374612422323302,0.28172959974198014,0.05157031529993102,0.3848702303418422,0.17858896914211808,0.0,-1.74,318.9,0.7475,0.0023439949827532146,-0.07127272727272746,1.3779897523478752
21,2002-07-12,0.7,929.5,933.75,929.5,933.75,,933.75,7.0,26.0,-0.2754545454545459,0.2028461600648739,0.2788658615799271,0.05149666638353058,0.38185919434698823,0.17587252881286594,0.0,-0.27,317.2,0.7415,0.002337641866330391,-0.040909090909091096,1.354244729684701
22,2002-07-15,-1.37,920.0,921.0,877.25,921.0,,921.0,41.0,39.0,-0.30127272727272775,0.22036540006048005,0.2772740201860317,0.05193335212815728,0.38114072444234626,0.17340731592971714,0.0,-2.04,321.2,0.7355,0.0022898505603985058,-0.08672727272727292,1.3787031675608878
23,2002-07-16,-1.9,910.0,911.0,903.5,903.5,,903.5,5.0,38.0,-0.30127272727272775,0.20874426534836862,0.2757488350301266,0.05270015515579954,0.38114914534172567,0.17034852471852752,0.0,1.37,318.8,0.74,0.0023212045169385192,-0.02472727272727291,1.3658518635383978
24,2002-07-17,0.22,919.75,933.0,901.0,905.5,,905.5,34.0,39.0,-0.2854545454545459,0.20037226275041364,0.27415198737710866,0.05363817761600335,0.38142834260911535,0.16687563214510198,0.0,-1.11,318.9,0.732,0.0022953904045155222,-0.04054545454545473,1.3734080591614781
25,2002-07-18,-3.31,901.0,901.0,875.5,875.5,,875.5,4.0,41.0,-0.3669090909090914,0.1982063059514173,0.27248117854216963,0.054555572301461956,0.38159232314509356,0.1633700339392457,0.0,-0.22,318.3,0.7290000000000001,0.002290292177191329,-0.045272727272727464,1.3735731378354654
26,2002-07-19,-3.6,864.75,870.75,840.5,844.0,,844.0,26.0,48.0,-0.4509090909090914,0.2697040784934425,0.2710856955228403,0.05360160833839422,0.37828891219962874,0.16388247884605184,0.0,-3.9,325.1,0.7155,0.002200861273454322,-0.12527272727272745,1.4662346011890142
27,2002-07-22,-2.87,837.5,846.0,817.0,819.75,,819.75,63.0,55.0,-0.49690909090909147,0.31150317682196377,0.2709200282202386,0.053459585602304946,0.37783919942484845,0.1640008570156287,0.0,-1.8,324.8,0.7020000000000001,0.002161330049261084,-0.13327272727272746,1.4742745291177586
28,2002-07-23,-2.84,833.0,833.0,796.5,796.5,,796.5,12.0,58.0,-0.5289090909090914,0.25411774786206953,0.2698139934756802,0.05316022250350884,0.3761344384826979,0.16349354846866251,0.0,2.4,313.8,0.6945,0.002213193116634799,-0.1120000000000002,1.5024811578284871
29,2002-07-24,5.96,785.25,844.75,775.5,844.0,,844.0,38.0,74.0,-0.3845454545454551,0.23571680751405405,0.26844599057780183,0.053049844648439023,0.3745456798746799,0.16234630128092378,0.0,0.27,312.5,0.6935,0.0022192,-0.05636363636363657,1.4574602003794948
30,2002-07-25,-0.86,838.75,854.25,826.0,836.75,,836.75,24.0,66.0,-0.3923636363636369,0.2293919398935739,0.26679633512661494,0.052823338801386246,0.3724430127293874,0.16114965752384244,0.0,-0.35,310.9,0.6875,0.0022113219684786107,-0.04581818181818202,1.453113758781327
31,2002-07-26,2.03,822.75,853.75,822.75,853.75,,853.75,20.0,68.0,-0.42345454545454597,0.2595091857578099,0.2660108724581986,0.05260014819596455,0.3712111688501277,0.1608105760662695,0.0,2.14,304.4,0.6875,0.0022585413929040736,-0.032545454545454745,1.4698944509622784
32,2002-07-29,4.71,836.0,898.25,836.0,894.0,,894.0,57.0,45.0,-0.3169090909090914,0.24742888558989815,0.26446201730402447,0.05185146119210276,0.36816493968823,0.16075909491981893,0.0,1.43,303.6,0.6955,0.0022908432147562582,-0.04436363636363656,1.4551336500108643
33,2002-07-30,1.31,887.25,910.25,886.0,905.75,,905.75,37.0,49.0,-0.2592727272727278,0.23233027970776787,0.26260539508130076,0.051122277228450426,0.3648499495382016,0.16036084062439993,0.0,-0.89,305.0,0.6925,0.0022704918032786887,-0.04545454545454566,1.4557559041698074
34,2002-07-31,0.66,910.0,914.75,905.0,911.75,,911.75,11.0,49.0,-0.2843636363636369,0.2296375640806611,0.26072402477027323,0.05037805226793565,0.36148012930614454,0.15996792023440193,0.0,-1.4,304.2,0.6809999999999999,0.0022386587771203153,-0.08200000000000021,1.4642017165222376
35,2002-08-01,-3.04,901.0,908.5,882.25,884.0,,884.0,68.0,83.0,-0.3789090909090914,0.22101956699228173,0.2581693837753499,0.04870658616507486,0.35558255610549966,0.1607562114452002,0.0,0.32,305.0,0.685,0.0022459016393442627,-0.07545454545454565,1.4651972666856266
36,2002-08-02,-2.18,883.0,883.5,860.0,864.75,,864.75,23.0,92.0,-0.41145454545454596,0.20251193047965363,0.25489042476224666,0.046161130118264206,0.34721268499877506,0.16256816452571826,0.0,-1.41,308.0,0.682,0.0022142857142857146,-0.13927272727272746,1.4449898814786761
37,2002-08-05,-3.61,855.0,863.5,833.0,833.5,,833.5,19.0,95.0,-0.48454545454545506,0.22664005710174287,0.25191172243238213,0.042381538229608,0.3366747988915981,0.16714864597316614,0.0,-1.69,308.7,0.672,0.00217687074829932,-0.16909090909090926,1.4599572199811488
38,2002-08-06,3.27,837.25,875.25,829.5,860.75,,860.75,79.0,100.0,-0.435454545454546,0.2635693520201087,0.24981214304198093,0.03866398114633195,0.3271401053346448,0.17248418074931704,0.0,1.31,306.3,0.6755,0.002205354227881162,-0.11509090909090926,1.4587169307905783
39,2002-08-07,1.74,860.0,878.5,857.75,875.75,,875.75,11.0,104.0,-0.3845454545454551,0.21798857175299632,0.24718512904942777,0.035659186204535266,0.3185035014584983,0.17586675664035722,0.0,-3.37,315.1,0.6715,0.0021310695017454774,-0.14709090909090927,1.5105035617637619
40,2002-08-08,3.4,905.5,906.25,875.5,905.5,,905.5,48.0,102.0,-0.30527272727272786,0.2470028238476267,0.24523324400176857,0.0324807568137065,0.3101947576291816,0.18027173037435557,0.0,1.78,311.2,0.675,0.002169023136246787,-0.07927272727272745,1.5117917436255157
41,2002-08-09,0.25,900.25,911.0,895.25,907.75,,907.75,31.0,111.0,-0.30400000000000055,0.24477857750370327,0.2438155521122067,0.03068675096494895,0.3051890540421046,0.1824420501823088,0.0,-0.77,315.0,0.6779999999999999,0.002152380952380952,-0.09581818181818198,1.5143250432784692
42,2002-08-12,-0.58,907.75,907.75,890.5,902.5,,902.5,79.0,156.0,-0.3345454545454551,0.246630662870509,0.24241803754046762,0.02867519216630218,0.29976842187307196,0.18506765320786325,0.0,0.14,314.8,0.6785,0.0021553367217280813,-0.08200000000000017,1.5129201589665624
43,2002-08-13,-1.94,902.5,910.25,882.0,885.0,,885.0,13.0,164.0,-0.3458181818181824,0.2508422878050751,0.24150520232455064,0.027551311816933977,0.2966078259584186,0.1864025786906827,0.0,-0.34,314.7,0.6759999999999999,0.002148077534159517,-0.0827272727272729,1.5130365036176299
44,2002-08-14,3.73,884.0,919.5,881.5,918.0,,918.0,144.0,202.0,-0.26800000000000057,0.2491453130646079,0.2409424237573272,0.027060144118743412,0.29506271199481404,0.18682213551984037,0.0,-0.13,312.3,0.67,0.0021453730387447968,-0.10436363636363653,1.5048794262471956
45,2002-08-15,1.36,925.0,931.0,922.0,930.5,,930.5,88.0,161.0,-0.2285454545454551,0.2615806022463289,0.24090510949321475,0.02702967378479804,0.2949644570628108,0.18684576192361868,0.0,1.02,314.9,0.6825,0.0021673547157827883,-0.11145454545454563,1.4985170671945653
46,2002-08-16,-0.27,924.0,936.0,917.25,928.0,,928.0,47.0,160.0,-0.23000000000000057,0.25902832516685426,0.24059254596466273,0.026711268451661864,0.29401508286798644,0.18717000906133902,0.0,-0.88,314.2,0.675,0.002148313176320815,-0.10454545454545472,1.4939926845249751
47,2002-08-19,2.29,933.0,950.0,933.0,949.25,,949.25,55.0,180.0,-0.19127272727272784,0.28517224847525163,0.24066747385176984,0.02683236636802651,0.2943322065878229,0.18700274111571683,0.0,2.44,306.5,0.6745,0.002200652528548124,-0.07054545454545472,1.5304615839453994
48,2002-08-20,-0.97,943.5,944.5,931.75,940.0,,940.0,63.0,159.0,-0.15963636363636424,0.282267826743479,0.24061044787663824,0.026738697392967182,0.2940878426625726,0.18713305309070388,0.0,0.3,309.2,0.6825,0.002207309184993532,-0.08963636363636382,1.5189189182226552
49,2002-08-21,1.33,946.0,952.5,934.25,952.5,,952.5,65.0,178.0,-0.14018181818181877,0.3038996251553375,0.24202555528992065,0.027985329360449406,0.29799621401081944,0.18605489656902183,0.005903411144518089,-0.6,308.1,0.6759999999999999,0.002194092827004219,-0.1267272727272729,1.505724944811505
50,2002-08-22,0.94,951.0,965.0,947.0,961.5,,961.5,67.0,184.0,-0.13872727272727334,0.3093271794948798,0.24370412811227243,0.029199249550493286,0.302102627213259,0.18530562901128586,0.007224552281620833,1.63,307.2,0.685,0.0022298177083333337,-0.11545454545454563,1.5166737706571336
51,2002-08-23,-2.11,965.0,965.0,937.5,941.25,,941.25,74.0,196.0,-0.140363636363637,0.2986746438391368,0.24497130648342838,0.030048365458030465,0.3050680373994893,0.18487457556736744,0.0,0.07,307.2,0.6855,0.0022314453125,-0.14618181818181836,1.4949377429240511
52,2002-08-26,0.69,943.5,951.25,930.25,947.75,,947.75,95.0,223.0,-0.12600000000000064,0.28533095932764707,0.2456337767610178,0.030534194005562995,0.3067021647721438,0.1845653887498918,0.0,-0.44,309.9,0.6885,0.0022216844143272026,-0.12327272727272744,1.4802678117870411
53,2002-08-27,-1.13,942.75,956.25,930.5,937.0,,937.0,171.0,232.0,-0.1530909090909097,0.2879888496004564,0.24634052614521681,0.031061629575657817,0.30846378529653246,0.18421726699390117,0.0,-0.86,312.8,0.6890000000000001,0.002202685421994885,-0.14345454545454564,1.4826493031829735
54,2002-08-28,-2.16,933.0,936.5,913.75,916.75,,916.75,156.0,256.0,-0.16072727272727333,0.28059397086795623,0.24674340152734522,0.03136364260289671,0.30947068673313866,0.1840161163215518,0.0,0.16,309.8,0.6835,0.0022062621045836023,-0.17527272727272744,1.4563092042270758
55,2002-08-29,-0.05,916.5,925.25,904.25,916.25,,916.25,295.0,303.0,-0.172363636363637,0.2672392791494216,0.24616390662852788,0.030664797587047772,0.3074935018026234,0.18483431145443235,0.0,-0.89,314.4,0.6875,0.002186704834605598,-0.149818181818182,1.4306712888362363
56,2002-08-30,0.03,914.25,928.75,909.75,916.5,,916.5,235.0,303.0,-0.15490909090909155,0.26898210913613785,0.2458845746493025,0.030379197536873258,0.306642969723049,0.185126179575556,0.0,0.45,313.9,0.6895,0.0021965594138260596,-0.13581818181818198,1.4327410803655363
57,2002-09-03,-4.23,911.0,912.0,876.5,877.75,,877.75,1711.0,1139.0,-0.22872727272727336,0.3066403782546513,0.2466624490968394,0.03137920231510143,0.30942085372704226,0.18390404446663655,0.0,-2.08,315.0,0.6775,0.002150793650793651,-0.19327272727272743,1.4463774090560217
58,2002-09-04,1.37,878.5,896.75,876.5,889.75,,889.75,3091.0,3003.0,-0.25145454545454615,0.30053205112705644,0.24727556566431455,0.03210129901665199,0.31147816369761855,0.18307296763101055,0.0,-0.69,316.5,0.6759999999999999,0.002135860979462875,-0.19600000000000015,1.4471844951363195
59,2002-09-05,-0.73,889.25,889.75,869.25,883.25,,883.25,937.0,3335.0,-0.2800000000000007,0.30195050554532415,0.24820650060920335,0.03293547621610809,0.31407745304141954,0.18233554817698716,0.0,-1.84,319.8,0.6705,0.002096622889305816,-0.22963636363636378,1.4637128888123592
60,2002-09-06,1.27,885.0,899.75,880.5,894.5,,894.5,1013.0,3384.0,-0.21345454545454615,0.3090484064046514,0.2494084863008317,0.03393097369564837,0.31727043369212843,0.18154653890953498,0.0,0.36,321.5,0.6765,0.0021041990668740278,-0.2116363636363638,1.464785110818451
61,2002-09-09,0.7,894.5,906.75,882.5,900.75,,900.75,2180.0,4680.0,-0.17836363636363706,0.31326370325167774,0.2506671772631861,0.03499531131068534,0.3206577998845568,0.18067655464181542,0.0,1.81,322.8,0.6915,0.002142193308550186,-0.1692727272727274,1.489191745166503
62,2002-09-10,1.17,900.25,912.0,898.75,911.25,,911.25,2180.0,4680.0,-0.1287272727272734,0.31910840583485006,0.251864489463184,0.03619160197325053,0.32424769340968507,0.17948128551668296,0.0,2.75,319.4,0.703,0.002201001878522229,-0.08600000000000013,1.522291888105758
63,2002-09-11,-0.55,911.25,927.75,901.5,906.25,,906.25,12719.0,14420.0,-0.1507272727272734,0.31156212435846703,0.2526532874276318,0.037017107915793775,0.32668750325921936,0.1786190715960443,0.0,0.12,318.1,0.701,0.002203709525306507,-0.05545454545454559,1.508964347051779
64,2002-09-12,-1.88,906.25,909.0,884.0,889.25,,889.25,476925.0,79546.0,-0.14309090909090977,0.31857280123606685,0.2535627009147702,0.03801593432359765,0.3295945695619655,0.17753083226757488,0.0,-1.0,320.4,0.6990000000000001,0.002181647940074907,-0.06981818181818196,1.5142135116695268
65,2002-09-13,0.22,889.25,893.25,876.25,891.25,,891.25,484294.0,94450.0,-0.13909090909090976,0.36161435669165815,0.2565102394709429,0.03998053351131789,0.3364713064935787,0.17654917244830715,0.025143050198079442,0.0,318.1,0.6940000000000001,0.002181703866708582,-0.11600000000000014,1.471267531126868
