,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,130,,6.90%," 157,495 "," 168,369.75 ",,,
0,6/14/2004,-0.95,1133.75,1134.5,1121.75,1125.5,,1125.5,580332,333111,0.036909091,0.233182762,0.046397035,0.076787336,0.199971707,-0.107177638,0.033211055,-1.13,384.2,1.1525,0.00299974,-0.126727273,1.724362528,,,," (147,713)",B,,,,,
1,6/15/2004,0.73,1125.5,1137.75,1125.25,1133.75,,1133.75,745580,444083,0.049818182,0.265345058,0.050918369,0.082139249,0.215196866,-0.113360129,0.050148192,2.14,388.7,1.191,0.00306406,-0.075272727,1.749286473,,,,,,,,,,
2,6/16/2004,-0.07,1133.25,1137,1130,1133,,1133,506959,477742,0.023090909,0.265443523,0.055398918,0.086947111,0.229293139,-0.118495304,0.036150384,-0.11,385.2,1.179,0.003060748,-0.063818182,1.746914201,,,,,,B," 3,231 ",13,9,69.2%
3,6/17/2004,-0.18,1133,1134,1126.25,1131,,1131,569216,507216,0.012545455,0.239920188,0.059255782,0.090338566,0.239932914,-0.121421349,0,0.57,389.5,1.199,0.003078306,-0.083272727,1.733494709,,sell,-130," 147,030 ",B,Sh," 7,644 ",9,4,44.4%
4,6/18/2004,0.27,1131.25,1139.5,1126.5,1134,,1134,522615,545974,0.019454545,0.245678859,0.063802822,0.093319477,0.250441776,-0.122836132,0,-2.1,395.7,1.1925,0.003013647,-0.079818182,1.729199655,,,,,,,,,,
5,6/21/2004,-0.35,1136.5,1137.75,1130,1130,,1130,228,99,-0.001090909,0.242076502,0.067839973,0.096150888,0.26014175,-0.124461803,0,0.51,394.5,1.195,0.003029151,-0.071272727,1.730963181,,,,,,,,,,
6,6/22/2004,0.49,1130,1135.5,1125,1135.5,,1135.5,142,120,-0.006181818,0.210889864,0.071187674,0.097884047,0.266955767,-0.124580419,0,-2.88,395.5,1.1635,0.002941846,-0.136181818,1.768417886,,,,,,,,,,
7,6/23/2004,0.81,1133.75,1146,1133,1144.75,,1144.75,64,122,-0.001090909,0.239062418,0.075376453,0.100064713,0.275505878,-0.124752972,0,2.71,395.5,1.195,0.003021492,-0.081636364,1.809377593,,,,,,,,,,
8,6/24/2004,-0.24,1143.75,1146,1140.5,1142,,1142,65,140,-0.000363636,0.248891676,0.080030658,0.102090611,0.284211879,-0.124150563,0,0.36,403.5,1.2235,0.003032218,-0.050727273,1.801988464,,,,,,,,,,
9,6/25/2004,-0.53,1142.5,1146.75,1135,1136,,1136,247,187,-0.005636364,0.254456007,0.084862278,0.103960165,0.292782608,-0.123058052,0,-1.07,403.2,1.2095,0.002999752,-0.068181818,1.807215057,,,,,,,,,,
10,6/28/2004,-0.31,1141.25,1145.75,1132.5,1132.5,,1132.5,304,414,-0.007272727,0.249431594,0.089467479,0.105555201,0.300577882,-0.121642924,0,0.31,401.3,1.2075,0.003008971,-0.032181818,1.794391149,,,,,,,,,,
11,6/29/2004,0.35,1130,1138.25,1130,1136.5,,1136.5,112,450,-0.007636364,0.245645455,0.094050655,0.106779689,0.307610033,-0.119508724,0,-0.93,394,1.1745,0.002980964,-0.056545455,1.797370732,,,,,,,,,,
12,6/30/2004,0.4,1137.75,1145,1134.25,1141,,1141,125,484,0.024727273,0.26319216,0.099091415,0.108117595,0.315326605,-0.117143775,0,2.8,394.2,1.208,0.003064434,0.018181818,1.829444452,,,,,,,,,,
13,7/1/2004,-1.25,1143,1143.25,1123.75,1126.75,,1126.75,7705,8087,-0.000909091,0.311410665,0.10572095,0.109771959,0.325264869,-0.113822969,0,0.43,397.7,1.224,0.003077697,-0.020545455,1.796895902,,,,,,,,,,
14,7/2/2004,0,1126.25,1128.5,1122.75,1126.75,,1126.75,732,8399,0.006727273,0.312563773,0.112035169,0.11151828,0.335071729,-0.111001392,0,-0.88,399.9,1.22,0.003050763,-0.090909091,1.752036141,,,,,,,,,,
15,7/6/2004,-1.02,1126.75,1128.5,1114,1115.25,,1115.25,160,8413,-0.026363636,0.28646258,0.118196762,0.111625308,0.341447379,-0.105053854,0,1.36,394.2,1.219,0.003092339,-0.067090909,1.762858235,,,,,,,,,,
16,7/7/2004,0.27,1116.25,1120.75,1115.75,1118.25,,1118.25,81,8424,-0.021090909,0.261151665,0.123258434,0.111682014,0.346622462,-0.100105595,0,0.54,404,1.256,0.003108911,-0.117818182,1.70239993,,,,,,,,,,
17,7/8/2004,-0.65,1115,1117.5,1109.25,1111,,1111,525,8601,-0.002,0.272713782,0.128605869,0.111668707,0.351943283,-0.094731545,0,-1.62,409.5,1.2525,0.003058608,-0.171454545,1.702411599,,,,,,,,,,
18,7/9/2004,0.18,1111.5,1115,1111,1113,,1113,153,8603,-0.011818182,0.223151356,0.131739135,0.11186327,0.355465676,-0.091987405,0,2.51,409.2,1.283,0.003135386,-0.073090909,1.69812628,,,,,,,,,,
19,7/12/2004,0.04,1111.25,1116.25,1107.25,1113.5,,1113.5,412,8476,-0.034181818,0.297707086,0.137134897,0.112592254,0.362319404,-0.08804961,0,-0.55,409.7,1.2775,0.003118135,0.001454545,1.579321723,,,,,,,,,,
20,7/13/2004,0.09,1115.5,1115.5,1112.75,1114.5,,1114.5,22,8474,-0.036909091,0.326390446,0.143258809,0.113573279,0.370405367,-0.08388775,0,1.71,403.6,1.28,0.003171457,0.047090909,1.591948111,,,,,,,,,,
21,7/14/2004,-0.27,1110,1119.5,1107.5,1111.5,,1111.5,309,8570,-0.039454545,0.325923121,0.149349977,0.114232962,0.377815901,-0.079115947,0,-0.97,406.9,1.278,0.003140821,0.011818182,1.592612681,,,,,,,,,,
22,7/15/2004,-0.72,1110,1113.75,1103.5,1103.5,,1103.5,76,8566,-0.052545455,0.307755903,0.155113896,0.114079515,0.383272927,-0.073045134,0,1.2,405.7,1.2895,0.003178457,0.04,1.599789338,,,,,,,,,,
