,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,,"147,095",-11.72%,,,
0,6/11/2008,-1.51,1357.75,1365,1337.25,1338,,1338,339988,576090,0.009636364,0.240593773,0.163082647,0.067810036,0.298702719,0.027462574,0,-0.78,882.9,3.5795,0.004054253,0.058,1.396102246,,,,,,,,,,
1,6/12/2008,0.39,1337,1355.5,1333.25,1343.25,,1343.25,1672537,945373,0.024545455,0.240858015,0.167135047,0.065601591,0.298338229,0.035931866,0,0.08,872,3.538,0.004057339,0.068363636,1.394073121,,,,,,,,,,
2,6/13/2008,1.23,1343,1363.5,1339,1359.75,,1359.75,2033847,1133824,0.062,0.253558715,0.171390581,0.063402143,0.298194867,0.044586294,0,1.31,873.1,3.589,0.00411064,0.095818182,1.403526895,,,,,,,,,,
3,6/17/2008,-0.51,1360.25,1372,1351.25,1353,,1353,2018896,1633301,-0.018727273,0.303486275,0.176977047,0.06118017,0.299337386,0.054616708,0.004148889,0.1,886.9,3.6495,0.004114895,0.018181818,1.274927871,,buy,109,"-147,477",B,B,"-17,237",11,5,45.50%
4,6/18/2008,-1.05,1352.75,1355.5,1334.5,1338.75,,1338.75,2294625,1752363,-0.038727273,0.270074424,0.181933785,0.057285823,0.296505432,0.067362138,0,1.93,893.5,3.7475,0.00419418,0.053454545,1.300709519,,sell,-109,"145,924",B,Sh,"1,488",13,6,46.20%
5,6/19/2008,0.21,1338.75,1349.75,1332.25,1341.5,,1341.5,2356034,1858151,-0.037818182,0.264274929,0.186199154,0.054400442,0.295000038,0.07739827,0,-0.34,904.2,3.7795,0.004179938,0.018,1.283964347,,,,,,,,,,
6,6/20/2008,-1.68,1342.5,1343.5,1315.25,1319,,1319,2322976,1868299,-0.066,0.095468008,0.186130284,0.054514826,0.295159937,0.077100631,0,1.45,903.7,3.832,0.004240345,-0.012545455,1.227291837,,,,,,,,,,
7,6/23/2008,0.17,1322,1329.75,1319.75,1321.25,,1321.25,1826,6700,-0.063636364,0.098736215,0.185976271,0.05475337,0.295483011,0.076469532,0,1.26,887.2,3.8095,0.004293846,0.002,1.237692596,,,,,,,,,,
8,6/24/2008,-0.21,1320.25,1330.25,1310,1318.5,,1318.5,7444,13451,-0.065818182,0.101541503,0.18589613,0.054875761,0.295647653,0.076144607,0,-1.06,891.6,3.788,0.004248542,-0.009636364,1.244722137,,,,,,,,,,
9,6/25/2008,0.51,1318.75,1340.25,1318.75,1325.25,,1325.25,2194,14166,-0.042363636,0.108853417,0.185966731,0.054772117,0.295510966,0.076422496,0,0.76,882.3,3.777,0.004280857,-0.013272727,1.242126394,,,,,,,,,,
10,6/26/2008,-2.91,1321,1322.75,1285.5,1286.75,,1286.75,7404,19882,-0.098909091,0.184791259,0.188243004,0.051951917,0.292146838,0.08433917,0,-2.23,915.1,3.83,0.004185335,-0.038545455,1.273015403,,,,,,,,,,
11,6/27/2008,-0.37,1288.5,1292,1275.75,1282,,1282,1617,20007,-0.068727273,0.189235479,0.190574415,0.048925368,0.28842515,0.09272368,0,-0.85,936,3.884,0.004149573,-0.030363636,1.266185528,,,,,,,,,,
12,6/30/2008,0.18,1282.75,1293.75,1279.25,1284.25,,1284.25,1157,20476,-0.06,0.198613017,0.193011851,0.045768353,0.284548556,0.101475146,0,0.53,933,3.892,0.00417149,-0.033090909,1.264787894,,,,,,,,,,
13,7/1/2008,0.31,1285,1288.25,1263.25,1288.25,,1288.25,6387,25246,-0.060909091,0.199340152,0.195293952,0.042744736,0.280783425,0.10980448,0,-0.98,949.3,3.921,0.004130412,-0.027272727,1.259577317,,,,,,,,,,
14,7/2/2008,-1.82,1288.5,1295.75,1263.25,1264.75,,1264.75,2572,26006,-0.142363636,0.131739978,0.19548664,0.042426985,0.280340611,0.110632669,0,3.71,951.4,4.0755,0.004283687,0.021272727,1.349701002,,,,,,,,,,
15,7/3/2008,0.16,1263.25,1278.25,1254.5,1266.75,,1266.75,1286,26457,-0.142181818,0.122894108,0.194109367,0.043537559,0.281184485,0.107034249,0,-1.46,938.5,3.9615,0.004221097,0.020181818,1.350894753,,,,,,,,,,
16,7/7/2008,-1.05,1261,1276.25,1242,1253.5,,1253.5,2143,26733,-0.182909091,0.152739227,0.193430113,0.043891291,0.281212694,0.105647532,0,-2.01,933.7,3.862,0.004136232,0.007454545,1.36686207,,,,,,,,,,
17,7/8/2008,1.76,1253.75,1277.25,1240,1275.5,,1275.5,1084,26170,-0.140727273,0.040765706,0.190725414,0.048480021,0.287685455,0.093765373,-0.052999668,-3.38,928.2,3.7095,0.003996445,-0.068545455,1.43641712,,short,115,"-146,683",Sh,,,,,
18,7/9/2008,-2.04,1276,1280,1247,1249.5,,1249.5,2075,27225,-0.174909091,0.026734203,0.187303639,0.053155966,0.293615572,0.080991706,-0.054257503,0.61,933.6,3.754,0.004020994,-0.046545455,1.437392467,,,,,,,,,,
19,7/10/2008,0.54,1249.5,1260,1239,1256.25,,1256.25,12127,37373,-0.174909091,-0.031393137,0.182667861,0.060539364,0.303746589,0.061589134,-0.092982271,-1.87,947,3.7365,0.003945618,-0.124,1.418316164,,,,,,,,,,
