,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.98%,"173,647","184,029",,,
0,6/11/2012,-1.68,1337,1342,1299.75,1300.75,,1300.75,3116807,1801710,-0.140909091,0.562447223,0.447732391,0.146973812,0.741680015,0.153784766,0,1.42,1596.8,3.343,0.002093562,-0.152909091,1.414113612,,,,,,,,,,
1,6/12/2012,1.5,1301,1320.5,1297,1320.25,,1320.25,2899992,2233378,-0.102,0.524035209,0.452180353,0.145479256,0.743138865,0.161221841,0,-1.28,1613.8,3.3355,0.002066861,-0.174909091,1.42218907,,,,,,B,"12,534",7,7,100.00%
2,6/13/2012,-0.85,1319.75,1321.25,1303.5,1309,,1309,2566729,2419155,-0.109272727,0.519278652,0.456386609,0.143979163,0.744344935,0.168428282,0,-0.23,1619.4,3.3395,0.002062184,-0.19,1.418212229,,,,,,Sh,"-2,152",9,3,33.33%
3,6/14/2012,1.28,1309,1327.75,1305.25,1325.75,,1325.75,2806842,2555080,-0.082727273,0.522065183,0.460651431,0.142348722,0.745348875,0.175953987,0,0.44,1619.6,3.3545,0.00207119,-0.179272727,1.420749482,,,,,,,,,,
4,6/15/2012,0.94,1325.25,1338.5,1324.5,1338.25,,1338.25,1817361,2557420,-0.074727273,0.52189282,0.464742548,0.140779569,0.746301686,0.18318341,0,0.34,1628.1,3.3835,0.002078189,-0.159454545,1.420243091,,,,,,,,,,
5,6/18/2012,-0.32,1339,1340.5,1321.25,1334,,1334,1387,12202,-0.091272727,0.520819336,0.468878977,0.138980167,0.746839312,0.190918643,0,0.42,1627,3.3955,0.00208697,-0.160363636,1.419848666,,,,,,,,,,
6,6/19/2012,0.81,1335,1350.25,1330.75,1344.75,,1344.75,754,12489,-0.071090909,0.530588307,0.473509402,0.136655146,0.746819695,0.200199109,0,1.36,1623.2,3.4335,0.002115266,-0.131454545,1.434515557,,,,,,,,,,
7,6/20/2012,-0.09,1342.75,1349,1332.25,1343.5,,1343.5,1474,12526,-0.053636364,0.524866479,0.477819055,0.134410318,0.746639692,0.208998419,0,-0.89,1615.8,3.3875,0.002096485,-0.184,1.407674205,,,,,,,,,,
8,6/21/2012,-2.36,1343.5,1345.25,1311,1311.75,,1311.75,924,12304,-0.093272727,0.48438627,0.48143453,0.131791243,0.745017016,0.217852044,0,0.49,1565.5,3.298,0.002106675,-0.182,1.408568225,,,,,,,,,,
9,6/22/2012,0.55,1312.25,1324,1311.75,1319,,1319,1446,12723,-0.06,0.493075854,0.485288452,0.128892079,0.74307261,0.227504294,0,0.15,1566.9,3.306,0.002109899,-0.182,1.408568225,,,,,,,,,,
