,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.79%," 192,225 "," 203,360 "
0,6/11/2018,0.15,2776.75,2794.25,2774,2786,4.25,2786.75,1546322,1142120,0.096181818,0.213079261,0.135234831,0.083118276,0.301471384,-0.031001722,0,-1.34,1303.2,3.257,0.002499233,0.152909091,1.185220206,,,,,,,
1,6/12/2018,0.05,2785,2794,2782.25,2792.5,1.5,2788.25,1486877,1809743,0.128727273,0.145250141,0.138416457,0.079976164,0.298368785,-0.021535872,0,0.06,1299.4,3.2495,0.00250077,0.184727273,1.158007316,,,,,,,
2,6/13/2018,-0.33,2792,2796,2778.5,2779.5,9.25,2779,1371929,2283691,0.079454545,0.066796099,0.139070253,0.079223871,0.297517996,-0.019377489,0,-0.01,1301.3,3.254,0.002500576,0.23,1.098234273,,,,,,,
3,6/14/2018,0.34,2777.75,2794,2772.25,2788.25,9.5,2788.5,1251575,2499069,0.115818182,0.125016399,0.14137793,0.076854497,0.295086924,-0.012331064,0,-1.51,1308.3,3.222,0.002462738,0.224,1.106947086,,,,,,,
4,6/15/2018,-0.14,2787,2788.5,2765.5,2781.5,4,2784.5,1475397,2602004,0.118909091,0.203359054,0.145754569,0.073257464,0.292269496,-0.000760358,0,-0.13,1278.5,3.1445,0.002459523,0.184545455,1.07934963,,,,,,,
5,6/18/2018,-0.02,2783.75,2791,2765.5,2782.75,5,2784,1335,44408,0.093818182,0.220038816,0.150507589,0.069262883,0.289033355,0.011981823,0,-1.33,1280.1,3.1065,0.002426764,0.133454545,1.083391824,,,,,,,
6,6/19/2018,-0.5,2783,2784.25,2740.5,2769.75,14,2770,4665,44548,0.132,0.220768483,0.154944925,0.065645867,0.286236659,0.023653191,0,-1.8,1278.6,3.047,0.002383075,0.082909091,1.107741568,,,,,,,
7,6/20/2018,0.22,2767,2782,2761.5,2775,6,2776,1093,44981,0.109090909,0.201776016,0.158739898,0.062048132,0.282836161,0.034643634,0,0.11,1274.5,3.0405,0.002385641,0.096909091,1.103034321,,,,,,,
8,6/21/2018,-0.71,2774.25,2788.75,2751,2754.75,19.75,2756.25,3420,45030,0.072727273,0.180292399,0.161689833,0.059018127,0.279726087,0.04365358,0,-0.31,1270.5,3.0215,0.002378198,0.07,1.094389734,,,,,,,
9,6/22/2018,0.25,2753,2772,2753,2760.75,7,2763.25,925,46510,0.066909091,0.253135216,0.166277842,0.056010384,0.27829861,0.054257074,0,0.17,1270.7,3.027,0.002382152,0.108363636,1.059036536,,,,,,,
10,6/25/2018,-1.37,2761,2761,2703.75,2725.25,37.75,2725.5,3755,46574,0.080181818,0.269488609,0.170787521,0.054086254,0.278960028,0.062615013,0,-1.18,1268.9,2.987,0.002354007,0.032,0.994668007,,,,,,,
11,6/26/2018,0.24,2726.5,2738.5,2718.25,2728.5,6.5,2732,3872,46703,0.075454545,0.229864018,0.174025858,0.052123794,0.278273447,0.06977827,0,0.88,1259.9,2.992,0.002374792,0.067818182,0.98897008,,,,,,,
12,6/27/2018,-0.88,2730.25,2751.25,2704.5,2708.5,24,2708,4147,47548,0.034363636,0.223802621,0.177068203,0.049974473,0.277017149,0.077119258,0,0.05,1256.1,2.9845,0.002376005,0.063272727,0.988457561,,,,,,,
13,6/28/2018,0.54,2707.5,2729.25,2696.75,2723.5,14.5,2722.5,8138,48920,0.053818182,0.165578381,0.178559116,0.048329801,0.275218719,0.081899513,0,-0.77,1256.7,2.963,0.002357762,0.021818182,0.974369865,,,,,,,
14,6/29/2018,0.09,2725,2748.5,2720.25,2724,2.5,2725,1897,51198,0.039636364,0.139716906,0.179554852,0.046908766,0.273372385,0.08573732,0,-0.43,1260.2,2.9585,0.002347643,0.044181818,0.94883494,,,,,,,
15,7/2/2018,0.2,2726.75,2731.25,2702.25,2730.5,5.5,2730.5,3219,50867,0.047636364,0.15406556,0.180630255,0.045592015,0.271814285,0.089446225,0,0.33,1247.1,2.9375,0.002355465,0.057090909,0.947786256,,,,,,,
16,7/3/2018,-0.5,2728.75,2744.5,2715.75,2716,13.75,2716.75,1134,50709,0.021818182,0.177903453,0.182137932,0.04405232,0.270242573,0.094033292,0,-1.86,1259,2.9105,0.002311755,0.026909091,0.981940393,,,,,,,
17,7/5/2018,0.94,2716,2743,2714.75,2742.5,25.5,2742.25,1226,50656,0.022,0.061181781,0.181380522,0.045765778,0.272912078,0.089848966,-0.028667184,-3.53,1264.2,2.8195,0.002230264,-0.048,1.089453482,,short,-70," 191,958 ",,,
18,7/6/2018,0.88,2740,2770,2734.75,2766.25,24.25,2766.5,1897,50857,0.035818182,0.074970277,0.181023891,0.04652479,0.27407347,0.087974311,-0.013004034,0.15,1261.4,2.8175,0.002233629,-0.037454545,1.088494064,,,,,,,
19,7/9/2018,0.89,2765.5,2791.75,2765.5,2791.25,24.75,2791.25,2108,50914,0.063090909,0.088435092,0.180773514,0.046991523,0.274756561,0.086790467,0,0.61,1265.3,2.8435,0.002247293,-0.067636364,1.045492908,,cover,70," (195,388)",,,
