,Date,SP500,SP500corr,filterSP500corr,Open,High,Low,Last,Return
0,2/19/1998,1041,0.066375437,0,1045,1048,1039.5,1041,100000
1,2/20/1998,1048.25,0.06544504,0,1042,1049,1036.5,1048.25,100000
2,2/23/1998,1051.25,0.023016666,0,1051.5,1058,1044.75,1051.25,100000
3,2/24/1998,1043.5,-0.066457364,0,1053,1053,1041.5,1043.5,100000
4,2/25/1998,1057.75,-0.092259549,0,1043,1060.75,1042.5,1057.75,100000
5,2/26/1998,1063.75,-0.09045054,0,1057,1063.75,1053,1063.75,100000
6,2/27/1998,1062,-0.127101568,0,1063,1066.75,1057,1062,100000
7,3/2/1998,1059.75,0.059094745,0,1061.75,1068,1058.5,1059.75,100000
8,3/3/1998,1067,0.061261842,0,1059.5,1067,1047,1067,100000
9,3/4/1998,1059.25,0.057123993,0,1065.25,1068,1055,1059.25,100000
10,3/5/1998,1049.75,0.052105676,0,1055,1055,1044,1049.75,100000
11,3/6/1998,1068.75,0.052433725,0,1049.25,1069.5,1044.25,1068.75,100000
12,3/9/1998,1065.5,0.058555279,0,1061.5,1072.25,1061.5,1065.5,100000
13,3/10/1998,1077.25,0.056955272,0,1066,1078.5,1066,1077.25,100000
14,3/11/1998,1081.25,0.052020317,0,1076,1082.5,1075.25,1081.25,100000
15,3/12/1998,1083.75,0.046596201,0,1079.5,1085,1074.25,1083.75,100000
16,3/13/1998,1080.25,0.046117087,0,1084,1089,1078.5,1080.25,100000
17,3/16/1998,1092,0.043522306,0,1080,1092.25,1076.75,1092,100000
18,3/17/1998,1093.5,0.039831619,0,1091.25,1094.25,1086,1093.5,100000
19,3/18/1998,1097.25,0.035998667,0,1094,1097.75,1089.25,1097.25,100000
20,3/19/1998,1101.5,0.033895167,0,1097.25,1102,1095.75,1101.5,100000
21,3/20/1998,1111,0.027935455,0,1101.5,1113.75,1100.25,1111,100000
22,3/23/1998,1118.5,0.015922395,0,1117.5,1124.25,1116,1118.5,100000
23,3/24/1998,1130,0.013644313,0,1119.5,1130,1119.5,1130,100000
24,3/25/1998,1120,-0.001530855,0,1137,1138,1117.25,1120,100000
25,3/26/1998,1128,-0.058626122,0,1126,1128,1118,1128,100000
26,3/27/1998,1118.25,-0.065548976,0,1130,1131.5,1113.75,1118.25,100000
27,3/30/1998,1113,-0.184323271,-0.184323271,1116.5,1121.25,1113,1113,100000
28,3/31/1998,1121.25,-0.180534787,-0.180534787,1122.5,1132.75,1116.5,1121.25,100000
29,4/1/1998,1131,-0.174516051,-0.174516051,1124.5,1132.5,1119,1131,100000
30,4/2/1998,1134,-0.175416398,-0.175416398,1129,1143.75,1128.75,1134,100000
31,4/3/1998,1144.5,-0.176524424,-0.176524424,1147.5,1150,1141.25,1144.5,105076.3702
32,4/6/1998,1141.25,-0.168874752,0,1152,1153,1140,1141.25,105076.3702
33,4/7/1998,1130,-0.163882813,0,1137,1140.75,1123.5,1130,105076.3702
34,4/8/1998,1120,-0.156860308,0,1134,1134,1118.5,1120,105076.3702
35,4/9/1998,1134,-0.154236718,0,1127.25,1134,1127.25,1134,105076.3702
36,4/13/1998,1129,-0.149734047,0,1129,1133.75,1122.25,1129,105076.3702
37,4/14/1998,1135.5,-0.149464128,0,1132.75,1136.75,1128.25,1135.5,105076.3702
38,4/15/1998,1138.5,-0.14935077,0,1137,1139.75,1134.5,1138.5,105076.3702
39,4/16/1998,1126.25,-0.146587222,0,1128,1129.75,1124.5,1126.25,105076.3702
40,4/17/1998,1136.5,-0.125873174,0,1123.25,1142,1121.25,1136.5,105076.3702
41,4/20/1998,1143,-0.121231789,0,1143,1143.25,1138,1143,105076.3702
42,4/21/1998,1142,-0.118737988,0,1142.5,1148.5,1138,1142,105076.3702
43,4/22/1998,1151.5,-0.118151672,0,1146.25,1151.5,1146.25,1151.5,105076.3702
44,4/23/1998,1138,-0.113553929,0,1147.25,1147.25,1138,1138,105076.3702
45,4/24/1998,1123,-0.109917681,0,1133,1139.75,1123,1123,105076.3702
46,4/27/1998,1102.5,-0.105246241,0,1117,1123.25,1075,1102.5,105076.3702
47,4/28/1998,1101,-0.104307808,0,1104,1114,1098.25,1101,105076.3702
48,4/29/1998,1110,-0.100710353,0,1113,1115,1102,1110,105076.3702
49,4/30/1998,1131,-0.098018611,0,1105.25,1140.25,1105.25,1131,105076.3702
50,5/1/1998,1141,-0.095427291,0,1131,1141,1130.75,1141,105076.3702
51,5/4/1998,1140,-0.095618616,0,1142,1149.5,1131.25,1140,105076.3702
52,5/5/1998,1133.5,-0.093997269,0,1138.5,1140.5,1125.25,1133.5,105076.3702
53,5/6/1998,1122,-0.092780336,0,1133.75,1135,1119.75,1122,105076.3702
54,5/7/1998,1109.5,-0.092195283,0,1121,1121.5,1109.5,1109.5,105076.3702
55,5/8/1998,1122,-0.088131971,0,1115,1133.75,1108.5,1122,105076.3702
56,5/11/1998,1122,-0.083596633,0,1132,1136.25,1119.25,1122,105076.3702
57,5/12/1998,1133.25,-0.08275463,0,1123,1133.5,1119.5,1133.25,105076.3702
58,5/13/1998,1136,-0.080415346,0,1133,1139.25,1132,1136,105076.3702
59,5/14/1998,1133.75,-0.081759724,0,1135.75,1142.25,1127.75,1133.75,105076.3702
60,5/15/1998,1123.25,-0.081357117,0,1131,1134.5,1123,1123.25,105076.3702
61,5/18/1998,1122,-0.080415492,0,1120.5,1129,1113.75,1122,105076.3702
62,5/19/1998,1123.5,-0.080431035,0,1119,1130,1119,1123.5,105076.3702
63,5/20/1998,1135,-0.078444071,0,1131,1136,1122.25,1135,105076.3702
64,5/21/1998,1131,-0.075050857,0,1140,1141.75,1127.5,1131,105076.3702
65,5/22/1998,1127.5,-0.076691495,0,1133,1133.5,1124.25,1127.5,105076.3702
66,5/26/1998,1107,-0.079538078,0,1130.25,1133.25,1107,1107,105076.3702
67,5/27/1998,1108.75,-0.078328987,0,1105.5,1109.5,1088.75,1108.75,105076.3702
68,5/28/1998,1110,-0.071087856,0,1100.5,1114,1100.5,1110,105076.3702
69,5/29/1998,1111,-0.072751194,0,1120,1120,1108.25,1111,105076.3702
70,6/4/1998,1110.25,-0.061178797,0,1089,1111,1089,1110.25,105076.3702
71,6/5/1998,1129,-0.060519757,0,1109.25,1130.5,1106,1129,105076.3702
72,6/9/1998,1132,-0.057893447,0,1130.25,1134,1125.5,1132,105076.3702
73,6/10/1998,1124,-0.056589819,0,1130.75,1140,1121.25,1124,105076.3702
74,6/11/1998,1105.25,-0.058541051,0,1124.25,1128.25,1103,1105.25,105076.3702
75,6/12/1998,1111.5,-0.069720462,0,1103.5,1113.5,1091.75,1111.5,105076.3702
76,6/15/1998,1086,-0.095379425,0,1112.25,1114.25,1084,1086,105076.3702
77,6/16/1998,1100,-0.096250832,0,1085,1100.5,1082.75,1100,105076.3702
78,6/17/1998,1122.75,-0.139275083,0,1099.25,1126.75,1098.5,1122.75,105076.3702
79,6/18/1998,1118.25,-0.121979672,0,1122,1127,1116,1118.25,105076.3702
80,6/19/1998,1112.5,-0.120673595,0,1118.25,1124,1107.75,1112.5,105076.3702
81,6/23/1998,1140.25,-0.116709546,0,1130,1143.25,1130,1140.25,105076.3702
82,6/24/1998,1154,-0.11825158,0,1141,1157.25,1140.25,1154,105076.3702
83,6/25/1998,1152.5,-0.114799896,0,1160.75,1166,1152.5,1152.5,105076.3702
84,6/26/1998,1161,-0.131731264,0,1154.5,1161,1153.25,1161,105076.3702
85,6/29/1998,1163,-0.062194156,0,1161.75,1169.75,1161.75,1163,105076.3702
86,6/30/1998,1157,-0.055337598,0,1162,1164,1154.75,1157,105076.3702
87,7/1/1998,1170,-0.062401802,0,1159.75,1170,1159.75,1170,105076.3702
88,7/2/1998,1165,-0.051367273,0,1167,1168,1165,1165,105076.3702
89,7/6/1998,1179,-0.046361022,0,1168.25,1180.25,1168.25,1179,105076.3702
90,7/7/1998,1175.75,-0.045315705,0,1182,1182.25,1174.75,1175.75,105076.3702
91,7/8/1998,1190.5,-0.004557827,0,1178.5,1190.5,1178.5,1190.5,105076.3702
92,7/9/1998,1180.75,-0.004514507,0,1185.75,1189.25,1178.75,1180.75,105076.3702
93,7/10/1998,1182.5,-0.000560346,0,1180,1187.5,1173,1182.5,105076.3702
94,7/13/1998,1185.75,-0.010050325,0,1184,1188.25,1180,1185.75,105076.3702
95,7/14/1998,1199.5,-0.008541312,0,1187.75,1201.75,1187.75,1199.5,105076.3702
96,7/15/1998,1196.5,-0.013593305,0,1197.25,1202.5,1196.5,1196.5,105076.3702
97,7/16/1998,1204.25,-0.011160876,0,1198,1205.5,1191.5,1204.25,105076.3702
98,7/17/1998,1208,0.013990006,0,1204,1209.25,1204,1208,105076.3702
99,7/20/1998,1205.5,0.02895982,0,1207.5,1211.75,1200,1205.5,105076.3702
100,7/21/1998,1185.75,0.032311796,0,1208,1208.75,1183,1185.75,105076.3702
101,7/22/1998,1185.75,0.035410688,0,1186,1189.25,1175.75,1185.75,105076.3702
102,7/23/1998,1157,0.022527984,0,1185,1186,1157,1157,105076.3702
103,7/27/1998,1162,-0.026042938,0,1151.5,1165.25,1147.75,1162,105076.3702
104,7/28/1998,1154.5,-0.038458475,0,1163,1169,1137.5,1154.5,105076.3702
105,7/29/1998,1143,-0.037501645,0,1149.75,1158.25,1139,1143,105076.3702
106,7/30/1998,1159.5,-0.055852759,0,1150.75,1162.75,1150.75,1159.5,105076.3702
107,7/31/1998,1135,0.063266745,0,1156.5,1161.75,1132,1135,105076.3702
108,8/3/1998,1131,0.070218183,0,1131.25,1140,1128,1131,105076.3702
109,8/5/1998,1098.75,0.072187581,0,1075,1101.25,1072.5,1098.75,105076.3702
110,8/6/1998,1106.75,0.070767545,0,1092.75,1109.25,1091,1106.75,105076.3702
111,8/7/1998,1106.5,0.075559635,0,1105.5,1120.75,1100.25,1106.5,105076.3702
112,8/10/1998,1102,0.090441657,0,1102.5,1126.25,1097.5,1102,105076.3702
113,8/11/1998,1083.5,0.088956594,0,1081.75,1100.5,1069,1083.5,105076.3702
114,8/12/1998,1099,0.087760103,0,1084,1101,1084,1099,105076.3702
115,8/13/1998,1086.5,0.085029512,0,1102,1108.25,1086.5,1086.5,105076.3702
116,8/14/1998,1075,0.089218892,0,1086,1099,1073.25,1075,105076.3702
117,8/17/1998,1098,0.087864533,0,1067.25,1098.5,1063,1098,105076.3702
118,8/18/1998,1117.5,0.087988781,0,1103,1119.5,1100.75,1117.5,105076.3702
119,8/19/1998,1111.25,0.088996,0,1120,1124.5,1110.25,1111.25,105076.3702
120,8/20/1998,1104,0.088526642,0,1116,1117.5,1104,1104,105076.3702
121,8/21/1998,1097,0.087778195,0,1105,1107,1065.25,1097,105076.3702
122,8/24/1998,1105,0.087644812,0,1096,1110.75,1093.25,1105,105076.3702
123,8/25/1998,1108,0.087353962,0,1102.75,1122,1100.25,1108,105076.3702
124,8/26/1998,1100.75,0.082205374,0,1106,1107.5,1089.5,1100.75,105076.3702
125,8/27/1998,1049.25,0.07137551,0,1092.25,1099.75,1046.75,1049.25,105076.3702
126,8/28/1998,1042,0.05924827,0,1049,1067.5,1030,1042,105076.3702
127,8/31/1998,966,0.073540083,0,1042.5,1051,962.25,966,105076.3702
128,9/1/1998,1010.5,0.115218113,0,966,1015.25,943,1010.5,105076.3702
129,9/2/1998,1000.25,0.013809227,0,1011.5,1025,997,1000.25,105076.3702
130,9/4/1998,985.25,0.027268424,0,996.5,1005,964.5,985.25,105076.3702
131,9/9/1998,1012,0.058954595,0,1037,1039.25,1012,1012,105076.3702
132,9/10/1998,981,0.225583226,0.225583226,1012.5,1013,975.5,981,105076.3702
133,9/11/1998,1024,0.296399824,0.296399824,980.5,1025.25,965,1024,93303.45981
134,9/14/1998,1040.25,-0.081576125,0,1023.5,1051,1020,1040.25,93303.45981
135,9/15/1998,1047.75,-0.079264663,0,1039.5,1050,1030.5,1047.75,93303.45981
136,9/16/1998,1057.75,-0.082048559,0,1046.75,1059.5,1038.5,1057.75,93303.45981
137,9/17/1998,1027.5,-0.076519412,0,1057.75,1059.25,1024.75,1027.5,93303.45981
138,9/18/1998,1029.5,-0.079047903,0,1028.5,1038,1021.25,1029.5,93303.45981
139,9/21/1998,1040,-0.065825273,0,1040,1043.25,1019,1040,93303.45981
140,9/22/1998,1045,-0.070124017,0,1045,1050.5,1045,1045,93303.45981
141,9/23/1998,1091.25,-0.064377476,0,1056.5,1091.25,1056.5,1091.25,93303.45981
142,9/24/1998,1074,-0.055724346,0,1075,1078.25,1062.5,1074,93303.45981
143,9/25/1998,1072,-0.0540125,0,1050,1072,1047.5,1072,93303.45981
144,9/28/1998,1064,-0.020523108,0,1078,1080.25,1063,1064,93303.45981
145,9/29/1998,1069.25,-0.02769407,0,1075.75,1075.75,1057,1069.25,93303.45981
146,9/30/1998,1043.5,-0.028619898,0,1056,1056,1033.5,1043.5,93303.45981
147,10/1/1998,1004.75,-0.028927256,0,1027,1035.25,998,1004.75,93303.45981
148,10/2/1998,1016.25,-0.030362219,0,1013,1024,988.75,1016.25,93303.45981
149,10/5/1998,982.75,-0.023122168,0,1010,1013,979.75,982.75,93303.45981
150,10/6/1998,1003.75,-0.034161999,0,1005,1025.5,992.5,1003.75,93303.45981
151,10/7/1998,980.75,-0.029703176,0,1024,1024,977.5,980.75,93303.45981
152,10/8/1998,974,-0.034748686,0,974.75,988.25,939.5,974,93303.45981
153,10/9/1998,1000,-0.029392115,0,976.5,1000.75,967.5,1000,93303.45981
154,10/14/1998,1019.75,-0.025844335,0,1007,1031.75,1005.25,1019.75,93303.45981
155,10/15/1998,1069,-0.0240218,0,1020,1082,1013,1069,93303.45981
156,10/16/1998,1073,-0.02705897,0,1070.25,1078,1067.5,1073,93303.45981
157,10/19/1998,1076.25,-0.023768906,0,1075,1082.75,1070.25,1076.25,93303.45981
158,10/20/1998,1081.75,-0.026067497,0,1092,1101,1078.75,1081.75,93303.45981
159,10/21/1998,1082.75,-0.024357966,0,1080.5,1091.25,1074.25,1082.75,93303.45981
160,10/22/1998,1096.5,-0.024482447,0,1084,1096.75,1077.75,1096.5,93303.45981
161,10/23/1998,1084,-0.02433382,0,1091.5,1093.5,1082.5,1084,93303.45981
162,10/26/1998,1089,-0.023192255,0,1083,1099.5,1083,1089,93303.45981
163,10/27/1998,1083.75,-0.022182499,0,1098,1101.75,1078.75,1083.75,93303.45981
164,10/28/1998,1080.25,-0.019808708,0,1079,1088,1075,1080.25,93303.45981
165,10/29/1998,1105,-0.01948685,0,1084,1105.25,1080.25,1105,93303.45981
166,10/30/1998,1131.25,-0.031287599,0,1105,1131.25,1105,1131.25,93303.45981
167,11/2/1998,1131,-0.03767367,0,1122.75,1131,1115.75,1131,93303.45981
168,11/3/1998,1124.5,-0.044592341,0,1131.5,1131.5,1123,1124.5,93303.45981
169,11/4/1998,1133.5,-0.034282074,0,1124.5,1143,1124.5,1133.5,93303.45981
170,11/5/1998,1151.5,-0.026969947,0,1127,1153,1125,1151.5,93303.45981
171,11/6/1998,1158,-0.027071377,0,1150,1158.5,1147.5,1158,93303.45981
172,11/9/1998,1148,-0.025011743,0,1161.5,1161.5,1139,1148,93303.45981
173,11/10/1998,1141,-0.025828358,0,1140.5,1150.5,1129.25,1141,93303.45981
174,11/13/1998,1142,-0.026392637,0,1137.25,1142,1134.25,1142,93303.45981
175,11/16/1998,1141.75,-0.026121329,0,1151.75,1155,1141.75,1141.75,93303.45981
176,11/17/1998,1154.75,-0.024526349,0,1150,1167.25,1128.5,1154.75,93303.45981
177,11/18/1998,1161.75,-0.026277631,0,1152.5,1161.75,1146.5,1161.75,93303.45981
178,11/19/1998,1168,-0.023896884,0,1160,1168.5,1158,1168,93303.45981
179,11/20/1998,1177,-0.021935058,0,1167,1178.25,1167,1177,93303.45981
180,11/23/1998,1204.5,-0.031292327,0,1183.5,1206.5,1183.5,1204.5,93303.45981
181,11/24/1998,1199.75,-0.03530892,0,1204,1206,1196.5,1199.75,93303.45981
182,11/25/1998,1199.25,-0.011435146,0,1194.5,1202,1194,1199.25,93303.45981
183,11/30/1998,1172.75,-0.018763543,0,1210,1210,1172.75,1172.75,93303.45981
184,12/1/1998,1187.5,-0.008367187,0,1175.5,1190,1149.25,1187.5,93303.45981
185,12/2/1998,1185,-0.008984485,0,1187,1191.75,1170.25,1185,93303.45981
186,12/3/1998,1164.5,0.003916587,0,1188.75,1193,1160,1164.5,93303.45981
187,12/4/1998,1190.5,0.004373842,0,1161.5,1196.75,1160,1190.5,93303.45981
188,12/7/1998,1201.25,0.03593224,0,1194,1204,1189.5,1201.25,93303.45981
189,12/8/1998,1195,0.032251324,0,1200.25,1208,1184,1195,93303.45981
190,12/9/1998,1197.25,0.028836236,0,1193.25,1198.75,1188.25,1197.25,93303.45981
191,12/10/1998,1177.75,0.025203613,0,1195.25,1201.5,1176.25,1177.75,93303.45981
192,12/11/1998,1175.5,0.0269017,0,1177.25,1181.75,1165.5,1175.5,93303.45981
